preprocessing_strategy,k,random_state,silhouette_score,davies_bouldin,calinski_harabasz,cluster_sizes,smallest_cluster_size,largest_cluster_size,smallest_cluster_percentage,largest_cluster_percentage
log_robust,4,42,0.2832192757636838,1.1896681487836005,4099.389463025951,"{""0"": 1140, ""1"": 1284, ""2"": 1382, ""3"": 2072}",1140,2072,19.394351820347055,35.25008506294658
log_robust,4,7,0.28321531762037794,1.1893168606258804,4099.416651469386,"{""0"": 1140, ""1"": 1280, ""2"": 1382, ""3"": 2076}",1140,2076,19.394351820347055,35.31813542021096
log_robust,4,21,0.283252260948089,1.188623883858532,4099.432796034763,"{""0"": 1275, ""1"": 1383, ""2"": 2081, ""3"": 1139}",1139,2081,19.377339231030962,35.40319836679143
log_robust,4,84,0.28342738627811653,1.1899263392319293,4098.739292792129,"{""0"": 1313, ""1"": 2062, ""2"": 1129, ""3"": 1374}",1129,2062,19.207213337870023,35.07995916978564
log_robust,4,123,0.28321531762037794,1.1893168606258806,4099.416651469386,"{""0"": 2076, ""1"": 1382, ""2"": 1280, ""3"": 1140}",1140,2076,19.394351820347055,35.31813542021096
log_robust,5,42,0.2805600798895596,1.0938781921614467,3773.2905795492948,"{""0"": 1092, ""1"": 914, ""2"": 981, ""3"": 1752, ""4"": 1139}",914,1752,15.549506634909832,29.806056481796528
log_robust,5,7,0.28074178372153435,1.0982763366228425,3772.8454711353766,"{""0"": 1146, ""1"": 1081, ""2"": 949, ""3"": 959, ""4"": 1743}",949,1743,16.14494726097312,29.652943177951684
log_robust,5,21,0.27918668821328235,1.0975162474267417,3773.215874121122,"{""0"": 1079, ""1"": 972, ""2"": 915, ""3"": 1170, ""4"": 1742}",915,1742,15.566519224225928,29.63593058863559
log_robust,5,84,0.27962516082737204,1.0948241417178934,3773.23921645949,"{""0"": 1151, ""1"": 1081, ""2"": 1755, ""3"": 912, ""4"": 979}",912,1755,15.515481456277646,29.857094249744808
log_robust,5,123,0.2805077436249327,1.093247513474854,3773.3910729676363,"{""0"": 1085, ""1"": 980, ""2"": 1758, ""3"": 914, ""4"": 1141}",914,1758,15.549506634909832,29.908132017693095
log_robust,6,42,0.25248175870536416,1.1732756533666753,3484.4073217169325,"{""0"": 895, ""1"": 945, ""2"": 559, ""3"": 1237, ""4"": 867, ""5"": 1375}",559,1375,9.510037427696496,23.392310309629124
log_robust,6,7,0.25251498593965654,1.1721525840249083,3484.3968760834655,"{""0"": 864, ""1"": 1383, ""2"": 897, ""3"": 945, ""4"": 1235, ""5"": 554}",554,1383,9.424974481116026,23.528411024157876
log_robust,6,21,0.25251498593965654,1.1721525840249083,3484.3968760834655,"{""0"": 864, ""1"": 897, ""2"": 945, ""3"": 554, ""4"": 1383, ""5"": 1235}",554,1383,9.424974481116026,23.528411024157876
log_robust,6,84,0.25251498593965654,1.1721525840249083,3484.3968760834655,"{""0"": 1383, ""1"": 554, ""2"": 945, ""3"": 1235, ""4"": 897, ""5"": 864}",554,1383,9.424974481116026,23.528411024157876
log_robust,6,123,0.25251498593965654,1.1721525840249083,3484.3968760834655,"{""0"": 1235, ""1"": 897, ""2"": 945, ""3"": 1383, ""4"": 554, ""5"": 864}",554,1383,9.424974481116026,23.528411024157876
log_robust,7,42,0.2484197135157141,1.200959684838622,3253.6320890635498,"{""0"": 955, ""1"": 516, ""2"": 729, ""3"": 830, ""4"": 1266, ""5"": 1142, ""6"": 440}",440,1266,7.48553929908132,21.53793807417489
log_robust,7,7,0.24858771077742,1.1982154471292923,3253.9398124707245,"{""0"": 1124, ""1"": 440, ""2"": 508, ""3"": 830, ""4"": 726, ""5"": 1283, ""6"": 967}",440,1283,7.48553929908132,21.827152092548484
log_robust,7,21,0.2489004865412526,1.199335864302345,3252.786060736465,"{""0"": 1283, ""1"": 844, ""2"": 1093, ""3"": 731, ""4"": 444, ""5"": 494, ""6"": 989}",444,1283,7.553589656345696,21.827152092548484
log_robust,7,84,0.24889029020298112,1.1988268657864933,3253.1143227883213,"{""0"": 1101, ""1"": 843, ""2"": 1279, ""3"": 499, ""4"": 726, ""5"": 988, ""6"": 442}",442,1279,7.519564477713509,21.759101735284112
log_robust,7,123,0.2484780704408536,1.1993231325655738,3253.6852916881894,"{""0"": 440, ""1"": 1139, ""2"": 721, ""3"": 513, ""4"": 1274, ""5"": 961, ""6"": 830}",440,1274,7.48553929908132,21.67403878870364
log_robust,8,42,0.24854447446034575,1.2053203283900216,3077.778131443728,"{""0"": 643, ""1"": 523, ""2"": 809, ""3"": 418, ""4"": 719, ""5"": 1105, ""6"": 870, ""7"": 791}",418,1105,7.111262334127254,18.79891119428377
log_robust,8,7,0.24855120977268075,1.2073402967787106,3078.034687285118,"{""0"": 522, ""1"": 645, ""2"": 425, ""3"": 783, ""4"": 1109, ""5"": 817, ""6"": 712, ""7"": 865}",425,1109,7.2303504593399115,18.866961551548144
log_robust,8,21,0.2486229325660791,1.207017206773293,3078.0380603326757,"{""0"": 522, ""1"": 815, ""2"": 1110, ""3"": 647, ""4"": 712, ""5"": 783, ""6"": 423, ""7"": 866}",423,1110,7.1963252807077245,18.88397414086424
log_robust,8,84,0.24856442416889912,1.207374808016484,3078.0412602066253,"{""0"": 1109, ""1"": 711, ""2"": 522, ""3"": 647, ""4"": 821, ""5"": 779, ""6"": 866, ""7"": 423}",423,1109,7.1963252807077245,18.866961551548144
log_robust,8,123,0.24859703734789002,1.209012371020306,3078.027905997988,"{""0"": 646, ""1"": 1106, ""2"": 710, ""3"": 520, ""4"": 866, ""5"": 785, ""6"": 821, ""7"": 424}",424,1106,7.2133378700238175,18.815923783599864
